Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
CS 3112 (P),2020-03-05,15:30:00,2020-03-05,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-03-05,16:30:00,2020-03-05,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-03-06,8:30:00,2020-03-06,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-03-06,9:30:00,2020-03-06,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-03-06,10:30:00,2020-03-06,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-03-06,11:30:00,2020-03-06,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-03-06,12:30:00,2020-03-06,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-03-06,14:30:00,2020-03-06,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-03-06,15:30:00,2020-03-06,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-03-06,16:30:00,2020-03-06,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MGT 401 (L),2020-03-09,15:30:00,2020-03-09,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-03-10,9:30:00,2020-03-10,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-03-10,10:30:00,2020-03-10,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-03-10,11:30:00,2020-03-10,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-03-10,14:30:00,2020-03-10,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-03-10,15:30:00,2020-03-10,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-03-11,9:30:00,2020-03-11,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-03-11,10:30:00,2020-03-11,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-03-11,14:30:00,2020-03-11,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-03-12,8:30:00,2020-03-12,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-03-12,11:30:00,2020-03-12,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-03-12,12:30:00,2020-03-12,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-03-12,14:30:00,2020-03-12,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-03-12,15:30:00,2020-03-12,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-03-12,16:30:00,2020-03-12,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-03-13,8:30:00,2020-03-13,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-03-13,9:30:00,2020-03-13,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-03-13,10:30:00,2020-03-13,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-03-13,11:30:00,2020-03-13,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-03-13,12:30:00,2020-03-13,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-03-13,14:30:00,2020-03-13,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
